Id,SalePrice
2658,136379.29146106858
2718,195592.9306106601
2414,193708.0262136359
1989,130494.18415651901
625,165616.95480454725
333,106772.80297482444
1327,120063.23143884497
858,145023.338508471
95,200303.28643334698
1568,154272.19305393586
2482,171134.48082652528
1364,135781.93080510636
2584,149532.8667761539
818,307682.9949639301
2673,146838.93705885284
2089,140653.02531863961
1297,146186.83886154956
790,118216.92982191063
2616,189616.2132231257
720,176945.8130721705
222,136971.05048175194
557,119103.10524305557
1148,195585.65599972298
2766,137177.98724374938
534,195955.13756350987
1452,114012.20942213005
630,127404.08130961841
2648,132564.59130406086
125,150085.05467446087
1904,71620.046117617
1670,105983.32249409538
756,109825.72670432259
717,259693.46481429006
1032,153835.70206805805
852,210490.77635211076
1731,193561.58723885924
2639,119913.785931714
2071,68846.18215338905
1267,133795.95033524948
1851,191488.69235090533
567,166721.33685663703
2439,218022.45985886414
1898,157580.26100134445
647,138728.96341513298
2256,191192.1681724507
979,114720.49639603219
1444,209425.14651502133
2485,115728.8111733731
157,129399.913772859
88,125154.64034620461
2003,114658.80800884549
186,202564.30603401334
1425,260413.92331998987
2695,136201.61333183525
738,109556.67074493613
395,164666.0255799783
1353,157756.93926383593
1878,135083.9575438271
390,162437.95243157155
1456,229950.40516444188
1103,286662.7471815773
1387,123817.28294858256
2070,133699.90371133236
1199,184311.88214539483
2479,178732.0295918465
501,291373.1423664708
2362,97659.97243457002
1718,183701.02906111415
2188,86964.51692006912
1483,155230.73831535605
2557,93402.39981219976
437,355453.118177034
2224,170116.0136371415
1628,185946.75299856014
397,125184.96063693166
587,189498.34733380575
971,134280.8050450783
2611,149053.34145574487
1887,91537.41361798934
2399,341851.8974423072
2148,208104.56253960656
304,116356.51233435964
1997,121240.31143300269
2817,128001.20055295585
1431,184196.78644890708
427,353058.1476487758
263,123002.26374705721
598,163464.38151170805
2895,223776.48040034607
687,155430.57220917766
1822,133852.2327825948
2191,109423.74664734934
179,133257.29900583279
1009,203317.7550204038
2010,127920.17076356732
1991,130030.31817840858
1411,143159.04073830254
1721,236553.05678579226
1144,187468.6090341615
593,219965.36816370592
575,269167.6336895563
1249,177281.43458672013
1604,120788.71875108659
1064,459314.5635713452
1923,136780.99134018688
1988,112855.89259652338
2325,175297.27226999812
114,186599.23790449314
2700,186466.5307608595
217,106391.94005111413
343,170192.76823151254
386,237851.29352308394
2005,105465.37730062041
2908,131373.12716226198
1814,206715.8015460704
2446,497968.7195107663
208,142125.32149390018
