Id,SalePrice
2658,132961.0180168358
2718,201450.23447422739
2414,193724.58712235716
1989,130621.4078234731
625,165653.51609111548
333,106312.04448889536
1327,119548.25932019124
858,143915.99485765232
95,195817.50635745592
1568,153538.13895892823
2482,173331.54971897797
1364,134306.20219292096
2584,146606.93161161186
818,297988.9276833858
2673,146861.76445280557
2089,139944.58851172766
1297,148038.99160540116
790,117918.28241151063
2616,186390.41257468978
720,176074.63776235393
222,136647.23414860512
557,120546.8064442481
1148,196863.5931382705
2766,134933.42047912156
534,197282.6109198237
1452,114534.54905601044
630,128883.9413804008
2648,130850.58867085222
125,150813.75851236508
1904,72298.06907515416
1670,107735.09869488176
756,110200.46691271733
717,246691.35418833885
1032,152470.85179751756
852,213460.36019763036
1731,191567.4163318581
2639,120124.57279693091
2071,69219.8212949784
1267,130907.4147571141
1851,192123.88984042918
567,167001.03061307664
2439,221213.28428119206
1898,158230.2938887803
647,138659.17429949917
2256,195967.96392256758
979,113539.64582562394
1444,209036.40680650916
2485,116390.51445072237
157,128681.37291108798
88,125645.8086941142
2003,114027.03660198998
186,196326.6854594305
1425,263301.0086392235
2695,134565.8534613828
738,112614.69892524154
395,162361.39306038996
1353,155398.33275067332
1878,135156.32934693436
390,159898.08612675592
1456,229993.25883575686
1103,288025.0641452324
1387,123898.09349528722
2070,134000.86801847417
1199,180758.70737852622
2479,180280.45985758214
501,295660.4005052518
2362,98186.23279657181
1718,185956.40121325
2188,90341.65730025676
1483,155226.4218341357
2557,95151.46131941747
437,342310.0265393644
2224,170115.96738331995
1628,186043.8398541147
397,126475.10608569467
587,189416.0565195935
971,132966.13816872865
2611,148167.28975803402
1887,91858.19477216818
2399,338365.6763605641
2148,210179.2482587736
304,117864.74650376521
1997,123186.95664710598
2817,128650.90660257135
1431,184969.61279498655
427,356009.3065551369
263,122847.63181741424
598,164488.79740289354
2895,224688.43935041473
687,153347.43975139168
1822,133634.57213081996
2191,109204.17193588286
179,130803.23911351993
1009,203469.8167080225
2010,126678.66047437684
1991,131542.56676092366
1411,142551.7922782606
1721,237541.54946096198
1144,189681.93942619787
593,217895.1065872273
575,265782.92150990746
1249,176859.70695601733
1604,120247.64473364007
1064,441941.18288934254
1923,135788.73876006456
1988,111861.84340452193
2325,174874.36070990216
114,188239.79856357974
2700,186477.42696411943
217,108195.14070619566
343,172533.8162558956
